;;GFP;Mouse;Human;Ferret;Macaca;Galago;Dolphin
N1;number GFP + cells;294;174;219;243;215;157;192
N1;number of GFP+ ki67+ cells;90;90;152;138;88;94;144
N1;number of GFP+ BrdU+ cells;32;12;62;44;12;34;49
N2;number GFP + cells;230;147;194;162;56;112;86
N2;number of GFP+ ki67+ cells;73;82;110;101;21;66;67
N2;number of GFP+ BrdU+ cells;24;27;18;18;8;12;20
N3;number GFP + cells;154;52;132;176;115;47;126
N3;number of GFP+ ki67+ cells;94;28;84;96;80;32;93
N3;number of GFP+ BrdU+ cells;32;12;25;37;29;10;43
N4;number GFP + cells;222;83;125;139;124;124;134
N4;number of GFP+ ki67+ cells;113;61;96;84;73;75;99
N4;number of GFP+ BrdU+ cells;40;14;39;34;24;19;34
N5;number GFP + cells;133;99;67;102;140;89;121
N5;number of GFP+ ki67+ cells;82;81;59;76;118;56;92
N5;number of GFP+ BrdU+ cells;17;15;21;29;49;23;28
N6;number GFP + cells;246;231;161;124;174;226;217
N6;number of GFP+ ki67+ cells;154;173;123;84;118;166;173
N6;number of GFP+ BrdU+ cells;67;63;39;31;42;66;87
