Protein	dN	dS
CCDS10029.1.fa.best.nuc.phy	0.0732	3.5032
CCDS10240.1.fa.best.nuc.phy	0.3551	1.8260
CCDS10274.1.fa.best.nuc.phy	0.3636	2.9696
CCDS10282.1.fa.best.nuc.phy	0.0793	5.1303
CCDS10488.1.fa.best.nuc.phy	0.4525	4.2831
CCDS10652.1.fa.best.nuc.phy	1.0258	3.9913
CCDS10735.1.fa.best.nuc.phy	0.0101	1.5516
CCDS10847.1.fa.best.nuc.phy	0.1607	3.6283
CCDS11587.1.fa.best.nuc.phy	0.4229	3.6295
CCDS11869.1.fa.best.nuc.phy	0.5229	3.6605
CCDS1204.1.fa.best.nuc.phy	0.1237	3.7367
CCDS12092.1.fa.best.nuc.phy	0.1245	12.6702
CCDS12403.1.fa.best.nuc.phy	0.0643	6.9318
CCDS12432.1.fa.best.nuc.phy	0.2548	3.7640
CCDS12558.1.fa.best.nuc.phy	0.4541	2.9943
CCDS1302.1.fa.best.nuc.phy	0.1715	2.4540
CCDS13139.1.fa.best.nuc.phy	0.6158	3.0940
CCDS13192.1.fa.best.nuc.phy	0.5976	3.1332
CCDS13471.1.fa.best.nuc.phy	0.6345	3.1965
CCDS13635.1.fa.best.nuc.phy	0.5481	3.7409
CCDS14095.1.fa.best.nuc.phy	0.6586	4.9018
CCDS1412.1.fa.best.nuc.phy	0.0585	8.8941
CCDS1450.1.fa.best.nuc.phy	0.9024	2.6975
CCDS1488.1.fa.best.nuc.phy	0.9794	5.5763
CCDS1491.1.fa.best.nuc.phy	0.8005	2.1974
CCDS1699.1.fa.best.nuc.phy	0.0059	3.7077
CCDS1791.1.fa.best.nuc.phy	0.2559	3.9769
CCDS2128.1.fa.best.nuc.phy	0.7851	3.3091
CCDS2198.1.fa.best.nuc.phy	0.0926	5.6600
CCDS2227.1.fa.best.nuc.phy	0.0181	2.7257
CCDS2644.1.fa.best.nuc.phy	0.0162	2.2264
CCDS2769.1.fa.best.nuc.phy	0.8761	2.9908
CCDS288.1.fa.best.nuc.phy	0.1126	4.4754
CCDS3012.1.fa.best.nuc.phy	0.3794	2.3429
CCDS303.1.fa.best.nuc.phy	0.2197	2.7137
CCDS30668.1.fa.best.nuc.phy	0.7830	3.5520
CCDS32037.1.fa.best.nuc.phy	1.1993	2.5979
CCDS32039.1.fa.best.nuc.phy	1.5725	3.9939
CCDS32545.1.fa.best.nuc.phy	0.3186	3.6129
CCDS32645.1.fa.best.nuc.phy	0.6724	4.2685
CCDS33056.1.fa.best.nuc.phy	0.7974	6.6563
CCDS33463.1.fa.best.nuc.phy	0.7431	4.3947
CCDS33662.1.fa.best.nuc.phy	0.1755	5.6211
CCDS33793.1.fa.best.nuc.phy	0.5557	2.2751
CCDS34051.1.fa.best.nuc.phy	0.7845	2.5741
CCDS34575.1.fa.best.nuc.phy	1.1064	174.5873
CCDS35185.1.fa.best.nuc.phy	0.0440	4.4314
CCDS3731.1.fa.best.nuc.phy	0.2146	1.9533
CCDS382.1.fa.best.nuc.phy	0.7573	4.6088
CCDS3961.1.fa.best.nuc.phy	0.5508	3.3611
CCDS4095.1.fa.best.nuc.phy	0.1334	2.5438
CCDS4119.1.fa.best.nuc.phy	0.7642	4.1324
CCDS41759.1.fa.best.nuc.phy	0.4647	2.5425
CCDS4179.1.fa.best.nuc.phy	0.1510	1.4130
CCDS4187.1.fa.best.nuc.phy	0.3174	4.7033
CCDS4231.1.fa.best.nuc.phy	0.3182	2.7234
CCDS43281.1.fa.best.nuc.phy	0.4404	5.8056
CCDS4334.1.fa.best.nuc.phy	0.0789	2.0174
CCDS4337.1.fa.best.nuc.phy	0.3764	3.2250
CCDS43866.1.fa.best.nuc.phy	0.4791	4.4372
CCDS45229.1.fa.best.nuc.phy	0.4472	3.1284
CCDS46558.1.fa.best.nuc.phy	0.0250	3.7671
CCDS47296.1.fa.best.nuc.phy	0.1798	4.8810
CCDS47319.1.fa.best.nuc.phy	0.2539	2.8067
CCDS5186.1.fa.best.nuc.phy	0.0556	3.8279
CCDS53439.1.fa.best.nuc.phy	0.0655	2.3128
CCDS5368.1.fa.best.nuc.phy	0.5196	3.8207
CCDS53815.1.fa.best.nuc.phy	0.1090	1.9422
CCDS53941.1.fa.best.nuc.phy	0.4387	4.2350
CCDS5421.1.fa.best.nuc.phy	0.7977	5.2423
CCDS54444.1.fa.best.nuc.phy	0.6832	4.2655
CCDS5451.1.fa.best.nuc.phy	0.8608	2.8809
CCDS5560.1.fa.best.nuc.phy	0.2898	7.4656
CCDS55639.1.fa.best.nuc.phy	1.0617	2.4426
CCDS55939.1.fa.best.nuc.phy	0.5518	4.0709
CCDS56011.1.fa.best.nuc.phy	0.7725	8.8409
CCDS56397.1.fa.best.nuc.phy	0.0691	6.3930
CCDS5704.1.fa.best.nuc.phy	0.1090	3.8432
CCDS59451.1.fa.best.nuc.phy	0.8731	2.9763
CCDS5973.1.fa.best.nuc.phy	0.3450	3.8839
CCDS6115.1.fa.best.nuc.phy	0.2216	3.6080
CCDS6188.1.fa.best.nuc.phy	0.6960	3.4234
CCDS6310.1.fa.best.nuc.phy	0.6092	2.9046
CCDS64082.1.fa.best.nuc.phy	0.2955	2.5095
CCDS6436.1.fa.best.nuc.phy	0.7266	3.9082
CCDS6530.1.fa.best.nuc.phy	0.2537	3.0503
CCDS6559.1.fa.best.nuc.phy	0.2273	2.7098
CCDS7037.2.fa.best.nuc.phy	0.2145	3.9916
CCDS72780.1.fa.best.nuc.phy	1.1466	2.9913
CCDS7400.1.fa.best.nuc.phy	0.7019	5.2241
CCDS75237.1.fa.best.nuc.phy	0.2700	2.8899
CCDS7795.1.fa.best.nuc.phy	0.7386	3.2318
CCDS78053.1.fa.best.nuc.phy	0.4850	2.6725
CCDS7861.1.fa.best.nuc.phy	0.1148	3.6685
CCDS7866.1.fa.best.nuc.phy	0.0826	1.7632
CCDS8099.1.fa.best.nuc.phy	0.3234	4.2564
CCDS8220.1.fa.best.nuc.phy	0.4011	4.9175
CCDS82287.1.fa.best.nuc.phy	0.2423	4.8040
CCDS8410.1.fa.best.nuc.phy	0.0330	7.6413
CCDS8538.1.fa.best.nuc.phy	0.1926	2.6278
CCDS87189.1.fa.best.nuc.phy	0.5352	4.0615
CCDS885.1.fa.best.nuc.phy	0.0498	3.8739
CCDS8886.1.fa.best.nuc.phy	0.2927	2.3083
CCDS9249.1.fa.best.nuc.phy	0.2657	5.2585
CCDS9358.1.fa.best.nuc.phy	0.2668	3.5616
CCDS939.1.fa.best.nuc.phy	0.4417	3.8040
CCDS9396.1.fa.best.nuc.phy	0.0660	1.7443
CCDS9463.1.fa.best.nuc.phy	0.1751	2.2408
CCDS9491.1.fa.best.nuc.phy	0.3967	3.1023
CCDS9555.1.fa.best.nuc.phy	0.7198	3.0313
CCDS9695.1.fa.best.nuc.phy	0.0025	1.4051
CCDS9996.1.fa.best.nuc.phy	1.2810	6.4212
TRNP1	0.4345	4.0629
CCDS11320.1.fa.best.nuc.phy	0.0849	2.5076
CCDS11976.1.fa.best.nuc.phy	0.2026	3.9248
CCDS12424.1.fa.best.nuc.phy	0.5007	6.2823
CCDS2596.1.fa.best.nuc.phy	0.2376	2.0680
CCDS2736.1.fa.best.nuc.phy	0.8466	4.9034
CCDS31856.1.fa.best.nuc.phy	0.4041	3.5191
CCDS32999.1.fa.best.nuc.phy	0.4512	4.9914
CCDS34301.1.fa.best.nuc.phy	0.3041	6.5622
CCDS3458.1.fa.best.nuc.phy	0.1685	5.9215
CCDS41285.1.fa.best.nuc.phy	0.3848	3.7665
CCDS41923.1.fa.best.nuc.phy	0.5679	3.6464
CCDS41980.1.fa.best.nuc.phy	0.1388	1.6976
CCDS45608.1.fa.best.nuc.phy	0.4585	6.6026
CCDS45815.1.fa.best.nuc.phy	0.4198	6.6664
CCDS5205.1.fa.best.nuc.phy	0.4648	6.0631
CCDS53682.1.fa.best.nuc.phy	0.3782	6.1158
CCDS5901.1.fa.best.nuc.phy	0.5350	5.2987
CCDS6007.1.fa.best.nuc.phy	0.7092	2.9878
CCDS8467.1.fa.best.nuc.phy	0.6340	2.2909
CCDS86085.1.fa.best.nuc.phy	0.8411	6.1325
CCDS9419.1.fa.best.nuc.phy	0.7540	4.2902
CCDS9518.1.fa.best.nuc.phy	0.2346	9.4435
TRNP1	0.4345	4.0629
